实验名称,检测方法,模板文件,模板分区,字段位置,字段名称,原模板内容,输入类型,字段键
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R2C3,检测前记录（第1条）,____ ℃,text,t2_r1_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R2C4,检测后记录（第1条）,____ ℃,text,t2_r1_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R2C5,是否符合（第1条）,□是 □否,checkbox,t2_r1_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R2C6,备注（第1条）,,text,t2_r1_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R3C3,检测前记录（第2条）,____ %RH,text,t2_r2_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R3C4,检测后记录（第2条）,____ %RH,text,t2_r2_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R3C5,是否符合（第2条）,□是 □否,checkbox,t2_r2_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R3C6,备注（第2条）,,text,t2_r2_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R4C3,检测前记录（第3条）,□无明显干扰 □有干扰,checkbox,t2_r3_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R4C4,检测后记录（第3条）,□无明显干扰 □有干扰,checkbox,t2_r3_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R4C5,是否符合（第3条）,□是 □否,checkbox,t2_r3_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R4C6,备注（第3条）,,text,t2_r3_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R5C3,检测前记录（第4条）,□已清洁 □未清洁,checkbox,t2_r4_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R5C5,是否符合（第4条）,□是 □否,checkbox,t2_r4_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R5C6,备注（第4条）,,text,t2_r4_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R6C3,检测前记录（第5条）,□符合 □不符合,checkbox,t2_r5_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R6C5,是否符合（第5条）,□是 □否,checkbox,t2_r5_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,二、环境条件与现场确认,表3-R6C6,备注（第5条）,,text,t2_r5_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R2C3,粗糙度仪；技术参数按设备说明书,,text,t3_r1_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R2C4,粗糙度仪；技术参数按设备说明书,,text,t3_r1_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R2C5,粗糙度仪；技术参数按设备说明书,,text,t3_r1_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R2C6,粗糙度仪；技术参数按设备说明书,,text,t3_r1_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R2C7,粗糙度仪；技术参数按设备说明书,,text,t3_r1_c6
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R2C8,使用前状态（第1条）,□正常 □异常,checkbox,t3_r1_c7
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R2C9,确认人（第1条）,,text,t3_r1_c8
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R3C3,稳定、可调、锁紧后无明显下沉,,text,t3_r2_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R3C4,稳定、可调、锁紧后无明显下沉,,text,t3_r2_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R3C5,稳定、可调、锁紧后无明显下沉,,text,t3_r2_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R3C6,稳定、可调、锁紧后无明显下沉,,text,t3_r2_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R3C7,稳定、可调、锁紧后无明显下沉,,text,t3_r2_c6
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R3C8,使用前状态（第2条）,□正常 □异常,checkbox,t3_r2_c7
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R3C9,确认人（第2条）,,text,t3_r2_c8
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R4C3,固定10 mm小试样，不遮挡测量轨迹,,text,t3_r3_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R4C4,固定10 mm小试样，不遮挡测量轨迹,,text,t3_r3_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R4C5,固定10 mm小试样，不遮挡测量轨迹,,text,t3_r3_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R4C6,固定10 mm小试样，不遮挡测量轨迹,,text,t3_r3_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R4C7,固定10 mm小试样，不遮挡测量轨迹,,text,t3_r3_c6
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R4C8,使用前状态（第3条）,□正常 □异常,checkbox,t3_r3_c7
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R4C9,确认人（第3条）,,text,t3_r3_c8
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R5C3,有证或受控赋值；覆盖实际测量范围,,text,t3_r4_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R5C4,有证或受控赋值；覆盖实际测量范围,,text,t3_r4_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R5C5,有证或受控赋值；覆盖实际测量范围,,text,t3_r4_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R5C6,有证或受控赋值；覆盖实际测量范围,,text,t3_r4_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R5C7,有证或受控赋值；覆盖实际测量范围,,text,t3_r4_c6
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R5C8,使用前状态（第4条）,□正常 □异常,checkbox,t3_r4_c7
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R5C9,确认人（第4条）,,text,t3_r4_c8
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R6C3,软件版本受控，系统时间正确,,text,t3_r5_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R6C4,软件版本受控，系统时间正确,,text,t3_r5_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R6C6,不适用/内部确认,,text,t3_r5_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R6C7,不适用/内部确认,,text,t3_r5_c6
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R6C8,使用前状态（第5条）,□正常 □异常,checkbox,t3_r5_c7
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R6C9,确认人（第5条）,,text,t3_r5_c8
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R7C3,无尘布、清洁用品等,,text,t3_r6_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R7C4,无尘布、清洁用品等,,text,t3_r6_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R7C6,不适用,,text,t3_r6_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R7C7,不适用,,text,t3_r6_c6
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R7C8,使用前状态（第6条）,□正常 □异常,checkbox,t3_r6_c7
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,三、设备、标准器具与校准/核查记录,表4-R7C9,确认人（第6条）,,text,t3_r6_c8
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R2C3,记录内容（第1条）,□符合 □不符合；说明：____________,checkbox,t4_r1_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R2C4,判定（第1条）,□符合 □不符合,checkbox,t4_r1_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R2C5,确认人/日期（第1条）,,text,t4_r1_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R3C3,记录内容（第2条）,□符合 □不符合；说明：____________,checkbox,t4_r2_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R3C4,判定（第2条）,□符合 □不符合,checkbox,t4_r2_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R3C5,确认人/日期（第2条）,,text,t4_r2_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R4C3,记录内容（第3条）,标称值：____；实测值：____；偏差：____,text,t4_r3_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R4C4,判定（第3条）,□符合 □不符合,checkbox,t4_r3_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R4C5,确认人/日期（第3条）,,text,t4_r3_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R5C3,记录内容（第4条）,1：____ 2：____ 3：____ 平均：____,text,t4_r4_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R5C4,判定（第4条）,□符合 □不符合,checkbox,t4_r4_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R5C5,确认人/日期（第4条）,,text,t4_r4_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R6C3,记录内容（第5条）,□正常 □异常：________________,checkbox,t4_r5_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R6C4,判定（第5条）,□符合 □不符合,checkbox,t4_r5_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R6C5,确认人/日期（第5条）,,text,t4_r5_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R7C3,记录内容（第6条）,□通过 □不通过,checkbox,t4_r6_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R7C4,判定（第6条）,□符合 □不符合,checkbox,t4_r6_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R7C5,确认人/日期（第6条）,,text,t4_r6_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R8C3,记录内容（第7条）,处理记录编号：________________,text,t4_r7_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R8C4,判定（第7条）,□符合 □不符合,checkbox,t4_r7_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,四、测量平台与粗糙度仪校准/核查记录,表5-R8C5,确认人/日期（第7条）,,text,t4_r7_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R2C3,实际设置值（第1条）,____________,text,t5_r1_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R2C4,是否符合（第1条）,□是 □否,checkbox,t5_r1_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R2C5,备注（第1条）,,text,t5_r1_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R3C3,实际设置值（第2条）,____________,text,t5_r2_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R3C4,是否符合（第2条）,□是 □否,checkbox,t5_r2_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R3C5,备注（第2条）,,text,t5_r2_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R4C3,实际设置值（第3条）,____________,text,t5_r3_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R4C4,是否符合（第3条）,□是 □否,checkbox,t5_r3_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R4C5,备注（第3条）,,text,t5_r3_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R5C3,实际设置值（第4条）,____________,text,t5_r4_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R5C4,是否符合（第4条）,□是 □否,checkbox,t5_r4_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R5C5,备注（第4条）,,text,t5_r4_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R6C3,实际设置值（第5条）,____________ μm,text,t5_r5_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R6C4,是否符合（第5条）,□是 □否,checkbox,t5_r5_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R6C5,备注（第5条）,,text,t5_r5_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R7C2,设定值（第6条）,□0.800 mm □2.500 mm,checkbox,t5_r6_c1
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R7C3,实际设置值（第6条）,____________ mm,text,t5_r6_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R7C4,是否符合（第6条）,□是 □否,checkbox,t5_r6_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R8C3,实际设置值（第7条）,____________ mm,text,t5_r7_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R8C4,是否符合（第7条）,□是 □否,checkbox,t5_r7_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R8C5,备注（第7条）,,text,t5_r7_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R9C2,设定值（第8条）,□5 □3（需特别说明）,checkbox,t5_r8_c1
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R9C3,实际设置值（第8条）,____________,text,t5_r8_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R9C4,是否符合（第8条）,□是 □否,checkbox,t5_r8_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R10C3,实际设置值（第9条）,____________ mm,text,t5_r9_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R10C4,是否符合（第9条）,□是 □否,checkbox,t5_r9_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R11C3,实际设置值（第10条）,____________,text,t5_r10_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,五、粗糙度仪测量参数记录,表6-R11C4,是否符合（第10条）,□是 □否,checkbox,t5_r10_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,六、3倍取样长度方法适用性说明（仅在取样个数=3时填写）,表7-R1C2,适用状态,□不适用（本次采用5L）,checkbox,t6_r0_c1
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,六、3倍取样长度方法适用性说明（仅在取样个数=3时填写）,表7-R1C3,表7第1行第3列,□适用（本次采用3L）,checkbox,t6_r0_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,六、3倍取样长度方法适用性说明（仅在取样个数=3时填写）,表7-R1C4,方法确认文件编号,方法确认文件编号：____________,text,t6_r0_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,六、3倍取样长度方法适用性说明（仅在取样个数=3时填写）,表7-R2C4,单边尺寸,________ mm,text,t6_r1_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,六、3倍取样长度方法适用性说明（仅在取样个数=3时填写）,表7-R3C2,预估/历史Ra范围,________～________ μm,text,t6_r2_c1
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,六、3倍取样长度方法适用性说明（仅在取样个数=3时填写）,表7-R3C4,实际λc,________ mm,text,t6_r2_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,六、3倍取样长度方法适用性说明（仅在取样个数=3时填写）,表7-R4C2,标准5L总长度,________ mm,text,t6_r3_c1
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,六、3倍取样长度方法适用性说明（仅在取样个数=3时填写）,表7-R4C4,试样有效直线长度,________ mm,text,t6_r3_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,六、3倍取样长度方法适用性说明（仅在取样个数=3时填写）,表7-R5C2,采用3L原因,□试样长度受限 □表面纹理均匀、各向同性 □其他：________________,checkbox,t6_r4_c1
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,六、3倍取样长度方法适用性说明（仅在取样个数=3时填写）,表7-R5C4,3L评定长度,________ mm,text,t6_r4_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,六、3倍取样长度方法适用性说明（仅在取样个数=3时填写）,表7-R6C2,配套质控,□每个试样3条平行测量线 □保留全部轮廓曲线 □标准块核查合格 □重复性符合,checkbox,t6_r5_c1
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,六、3倍取样长度方法适用性说明（仅在取样个数=3时填写）,表7-R6C4,批准/确认,____________,text,t6_r5_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,计算要求：每个试样记录3条相互平行、互不重叠且具有代表性的测量线Ra值，计算单个试样平均Ra。取样个数为软件单条轮廓内部的取样长度数量，不等同于每个试样的测量线数量。,表8-R2C1,试样编号（第1条）,,text,t7_r1_c0
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,计算要求：每个试样记录3条相互平行、互不重叠且具有代表性的测量线Ra值，计算单个试样平均Ra。取样个数为软件单条轮廓内部的取样长度数量，不等同于每个试样的测量线数量。,表8-R2C2,原打印面/方向确认（第1条）,□符合 □不符合,checkbox,t7_r1_c1
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,计算要求：每个试样记录3条相互平行、互不重叠且具有代表性的测量线Ra值，计算单个试样平均Ra。取样个数为软件单条轮廓内部的取样长度数量，不等同于每个试样的测量线数量。,表8-R2C3,测量线1 Ra(μm)（第1条）,,text,t7_r1_c2
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,计算要求：每个试样记录3条相互平行、互不重叠且具有代表性的测量线Ra值，计算单个试样平均Ra。取样个数为软件单条轮廓内部的取样长度数量，不等同于每个试样的测量线数量。,表8-R2C4,测量线2 Ra(μm)（第1条）,,text,t7_r1_c3
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,计算要求：每个试样记录3条相互平行、互不重叠且具有代表性的测量线Ra值，计算单个试样平均Ra。取样个数为软件单条轮廓内部的取样长度数量，不等同于每个试样的测量线数量。,表8-R2C5,测量线3 Ra(μm)（第1条）,,text,t7_r1_c4
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,计算要求：每个试样记录3条相互平行、互不重叠且具有代表性的测量线Ra值，计算单个试样平均Ra。取样个数为软件单条轮廓内部的取样长度数量，不等同于每个试样的测量线数量。,表8-R2C6,平均 Ra(μm（第1条）,,text,t7_r1_c5
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,计算要求：每个试样记录3条相互平行、互不重叠且具有代表性的测量线Ra值，计算单个试样平均Ra。取样个数为软件单条轮廓内部的取样长度数量，不等同于每个试样的测量线数量。,表8-R2C7,测量方向/线位（第1条）,□平行纹理 □垂直纹理 □其他,checkbox,t7_r1_c6
表面粗糙度试验,YY/T 1702,RECORD_R001_ROUGHNESS.docx,计算要求：每个试样记录3条相互平行、互不重叠且具有代表性的测量线Ra值，计算单个试样平均Ra。取样个数为软件单条轮廓内部的取样长度数量，不等同于每个试样的测量线数量。,表8-R2C8,原始数据文件编号（第1条）,,text,t7_r1_c7
